Rank,Team,S,Digs,Per Set
1,McKendree,97,1047,10.79
2,Erskine,78,838,10.74
3,Barton,89,930,10.45
4,Kentucky St.,20,205,10.25
5,Mount Olive,69,703,10.19
6,Edward Waters,73,723,9.90
7,LIU,85,832,9.79
8,North Greenville,79,773,9.78
9,Emmanuel (GA),89,867,9.74
10,Belmont Abbey,75,721,9.61
11,Lincoln Memorial,67,641,9.57
12,Merrimack,63,593,9.41
13,Lewis,111,1029,9.27
14,St. Thomas Aquinas,75,690,9.20
15,Charleston (WV),91,837,9.20
16,Southern California,79,726,9.19
17,Missouri S&T,74,680,9.19
18,Maryville (MO),80,730,9.12
19,Roberts Wesleyan,97,885,9.12
20,Rockhurst,100,912,9.12
21,King (TN),85,770,9.06
22,Thomas More,63,568,9.02
23,Catawba,77,692,8.99
24,Roosevelt,72,646,8.97
25,Central St. (OH),76,665,8.75
26,Queens (NC),101,881,8.72
27,Benedict,67,583,8.70
28,D'Youville,69,600,8.70
29,Tusculum,91,791,8.69
30,FDU,72,623,8.65
31,American Int'l,75,648,8.64
32,Quincy,99,850,8.59
33,Grand Canyon,88,753,8.56
34,Menlo,74,631,8.53
35,Fort Valley St.,67,570,8.51
36,Vanguard,85,720,8.47
37,Barry,85,713,8.39
38,BYU,92,770,8.37
39,Loyola Chicago,85,709,8.34
40,UC Irvine,74,613,8.28
41,Ohio St.,92,761,8.27
42,CUI,93,768,8.26
43,Pepperdine,78,642,8.23
44,Ball St.,110,902,8.20
45,UC San Diego,88,718,8.16
46,Dominican (NY),92,750,8.15
47,Harvard,68,553,8.13
48,Daemen,75,604,8.05
49,Lees-McRae,85,682,8.02
50,UC Santa Barbara,84,671,7.99
