Rank,Team,S,Kills,Per Set
1,Southern California,79,1069,13.53
2,Hawaii,90,1216,13.51
3,Long Beach St.,78,1032,13.23
4,Loyola Chicago,85,1115,13.12
5,Mount Olive,69,897,13.00
6,Pepperdine,78,1001,12.83
7,Charleston (WV),91,1159,12.74
8,McKendree,97,1227,12.65
9,Lindenwood,83,1046,12.60
10,LIU,85,1064,12.52
11,UC Irvine,74,924,12.49
12,Ball St.,110,1373,12.48
13,Rockhurst,100,1247,12.47
14,Ohio St.,92,1145,12.45
15,UC Santa Barbara,84,1045,12.44
16,UCLA,76,944,12.42
17,North Greenville,79,980,12.41
18,Lewis,111,1375,12.39
19,UC San Diego,88,1082,12.30
20,Saint Francis,79,970,12.28
21,Catawba,77,942,12.23
22,Belmont Abbey,75,916,12.21
23,Lincoln Memorial,67,812,12.12
24,Maryville (MO),80,968,12.10
25,Merrimack,63,757,12.02
26,BYU,92,1104,12.00
27,CSUN,88,1052,11.95
28,Stanford,76,902,11.87
29,Purdue Fort Wayne,88,1035,11.76
30,Erskine,78,915,11.73
31,Grand Canyon,88,1030,11.70
32,NJIT,80,934,11.68
33,Daemen,75,862,11.49
34,Princeton,73,838,11.48
35,Quincy,99,1133,11.44
36,Menlo,74,843,11.39
37,Missouri S&T,74,841,11.36
38,George Mason,82,929,11.33
39,Queens (NC),101,1140,11.29
40,CUI,93,1045,11.24
41,Tusculum,91,1020,11.21
42,St. Thomas Aquinas,75,837,11.16
43,Penn St.,75,833,11.11
44,Edward Waters,73,802,10.99
45,Vanguard,85,933,10.98
46,Fort Valley St.,67,734,10.96
47,Roosevelt,72,784,10.89
48,FDU,72,780,10.83
49,Barton,89,962,10.81
50,Roberts Wesleyan,97,1048,10.80
